STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
843,3196362,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
844,3196363,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
845,3196365,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
846,3196368,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
847,3196370,15800,110-Cty TNHH 1TV Tri Hoi,X,N,
854,3408174,15506,111-Cty Bot giat LIX-NR,X,N,
855,3408176,15506,111-Cty Bot giat LIX-NR,X,N,
858,3503165,16760,110-Cua Hang Hue Lam,,Y,
861,3503301,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,,Y,
862,3503302,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,,Y,
863,3503303,20536,100-CTYTNHH THIET BI YTE HA TRAN-NR,,Y,
STT,ITEM,VENDOR,DESCR,TINH TRANG,STT
N,3505767,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
N,3054454,11266,110-Cty CP Tap Doan Muoi Mien Nam,MA C  VA MA KM ,N
N,3488562,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
N,3488563,17259,100-Cty TNHH Le Trung Thien-NR,BAN CHAM,N
N,3441648,20846,111-Cty Co Phan Tap Doan KIDO ,BAN CHAM,N
N,3442428,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3442429,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3442481,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3493351,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3493352,12320,111-Cty TNHH MTV TNI,BAN CHAM,N
N,3390935,19028,110-Cty CP Vinamit-NR,BAN CHAM,N
N,3479885,19219,130-Cty TNHH Nabati Viet Nam,MA C  VA MA KM ,N
N,3492416,11119,110-Cty TNHH Lotte Viet Nam,MA C  VA MA KM ,N
