STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,LCC,N,
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,LCC,N,
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
157,3520753,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
164,3295021,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
165,3295023,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
177,3412002,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
181,3403438,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
185,3459960,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
186,3556029,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
187,3490336,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
199,3055152,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
200,3055153,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
201,3055154,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
202,3055204,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
207,3260451,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
208,3260454,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
211,3314547,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
217,3382940,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
218,3382941,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
230,3031987,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
231,3031988,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
232,3031989,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
233,3032106,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
241,3457912,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
242,3457913,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
243,3457914,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
244,3457915,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
252,3279756,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
253,3279757,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
254,3325237,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
261,3444318,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
274,3389078,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
275,3493317,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
276,3493318,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
281,3390753,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
282,3390754,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
283,3390755,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
295,3422584,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
296,3392947,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
301,3555039,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
303,3134265,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
312,3479552,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
315,3434401,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
316,3434402,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
317,3434403,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
318,3434405,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
326,3515856,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
328,3419926,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
340,3523181,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
341,3523363,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
342,3523364,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
343,3523365,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
362,3521071,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
363,3521072,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
364,3521073,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
365,3521074,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
403,3480412,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
404,3480413,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
405,3480422,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
409,3403272,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
410,3404154,11773,110-CTy CP SX Nhua Duy Tan,KDBT,Y,
411,3414888,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
414,3508978,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
421,3487359,11773,110-CTy CP SX Nhua Duy Tan,MA C,N,
422,3487361,11773,110-CTy CP SX Nhua Duy Tan,BAN CHAM,N,
