STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,,,
108,3475383,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
109,3475665,16964,100-CTy TNHH Tan Hop Thanh,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
110,3476194,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
111,3476195,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
112,3476196,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
113,3476198,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
114,3476199,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
115,3476200,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
116,3476201,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
117,3476202,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
118,3538419,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
119,3543870,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
120,3544246,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
121,3218628,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
122,3517621,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
123,3541545,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
124,3557777,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
125,3557783,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
126,3545292,16760,110-Cua Hang Hue Lam,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
127,3557782,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
128,3554246,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
129,3534601,15208,100-CN CT CP GiaDung GOLDSUN(TP.HN),#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
130,3348367,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
131,3348368,16964,100-CTy TNHH Tan Hop Thanh,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
132,3348492,11119,110-Cty TNHH Lotte Viet Nam,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
133,3448562,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
134,3448564,11773,110-CTy CP SX Nhua Duy Tan,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
135,3419927,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
136,3496755,20846,111-Cty Co Phan Tap Doan KIDO ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
137,3496756,20846,111-Cty Co Phan Tap Doan KIDO ,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
138,3132145,15790,110-CTy CP HMP My Hao,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
139,3132228,15790,110-CTy CP HMP My Hao,#N/A,N,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
140,3173260,11841,130-Cty TNHH Saigon Ve Wong,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
141,3385771,11773,110-CTy CP SX Nhua Duy Tan,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
142,3386499,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
143,3386500,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
144,3386501,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
145,3386502,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
146,3386503,15506,111-Cty Bot giat LIX-NR,DANG KINH DOANH,Y,?ANG KINH DOANH,?ANG KINH DOANH,?ANG KINH DOANH
