STT,ITEM,VENDOR,DESCR,TINH TRANG,STATUS,,
553,3175364,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y,,
702,3113220,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y,,
79,3416681,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y,,
466,3433445,20142,111-Cty TNHH Wilmar Mar.CLV-Sua ,,Y,,
549,3510697,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y,,
551,3510699,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y,,
476,3524072,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y,,
474,3524070,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,Nguung kd,N,,
475,3524071,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y,,
550,3510698,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y,,
552,3510700,20734,100-Cty CP Dau Tu Hai Thien Minh-NR,,Y,,
465,3530862,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
679,3525167,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
650,3519043,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
651,3519044,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
324,3515394,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
652,3519045,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
649,3519042,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
325,3515395,20812,100-Cty CP TP ThNhien King Green-NR,,Y,,
382,3003392,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
759,3298228,20846,111-Cty Co Phan Tap Doan KIDO ,Ngung kd,N,,
329,3431913,20846,111-Cty Co Phan Tap Doan KIDO ,"MA KM, Ko KD",N,,
639,3437747,20846,111-Cty Co Phan Tap Doan KIDO ,"MA KM, Ko KD",N,,
256,3441648,20846,111-Cty Co Phan Tap Doan KIDO ,"MA KM, Ko KD",N,,
663,3450830,20846,111-Cty Co Phan Tap Doan KIDO ,"MA KM, Ko KD",N,,
457,3530120,20846,111-Cty Co Phan Tap Doan KIDO ,"Ma C , ngung kd",N,,
458,3530121,20846,111-Cty Co Phan Tap Doan KIDO ,"Ma C , ngung kd",N,,
459,3530295,20846,111-Cty Co Phan Tap Doan KIDO ,"Ma C , ngung kd",N,,
606,3533269,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
384,3003425,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
163,3225551,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
496,3312942,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
100,3284196,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
412,3500252,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
376,3003360,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
106,3368786,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
383,3003424,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
348,3430768,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
349,3430769,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
381,3003389,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
352,3431040,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
705,3466390,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
237,3253189,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
137,3496756,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
373,3003356,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
490,3255354,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
270,3138983,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
607,3533840,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
2,3507730,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
504,3446824,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
767,3447980,20846,111-Cty Co Phan Tap Doan KIDO ,"MA KM, Ko KD",N,,
330,3431914,20846,111-Cty Co Phan Tap Doan KIDO ,"MA KM, Ko KD",N,,
380,3003388,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
379,3003383,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
3,3507731,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
347,3430767,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
351,3431039,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
372,3003246,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
99,3284188,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
331,3431961,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
375,3003359,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
371,3003245,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
136,3496755,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
374,3003358,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
378,3003369,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
377,3003368,20846,111-Cty Co Phan Tap Doan KIDO ,,Y,,
415,3158922,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y,,
396,3334803,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y,,
397,3334806,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y,,
539,3365055,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y,,
536,3278393,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y,,
537,3278394,20944,111-Cty TNHH Luong Thuc Angimex-NR,,Y,,
770,3232249,21018,100-Congty CP Phuc Long Heritage-NR,"Hang TV Tet, Ko KD",N,,
402,3480381,21018,100-Congty CP Phuc Long Heritage-NR,,Y,,
771,3232250,21018,100-Congty CP Phuc Long Heritage-NR,,Y,,
