STRNUM,STRNAM,STCITY,STSDAT,STPOLL,STRHDO
5281,Trung chuyen Kon Tum-528,Binh Duong,171017,N,S
69019,CH NQ 134A Nguyen Thai Son,HCM,171021,Y,S
529,Co.opMart Tan Thanh,"H.Tan Thanh,T.BR-VT",171025,Y,S
5291,Trung chuyen Tan Thanh-529,Binh Duong,171025,N,S
530,Co.opMart Chu Van An,HCM,171026,Y,S
5301,Trung chuyen Chu Van An-530,Binh Duong,171026,N,S
676,CH Co.opFood Ba Diem,HCM,171102,Y,S
678,CH Co.opFood Dong Bac,HCM,171102,Y,S
679,NKD-CH CFood Le Trong Tan 47A,HCM,171102,N,S
680,CH Co.opFood Nguyen Cuu Phu 21,"Binh Chanh,HCM",171102,Y,S
681,NKD-CH Co.opFood Khanh Hoi,HCM,171102,N,S
682,NKD-CH CFood Phan Huy Ich 105,HCM,171102,N,S
6761,TC CH Co.opFood Ba Diem,Binh Duong,171102,N,S
6771,TC Co.opFood Huynh Tan Phat591,Binh Duong,171201,N,S
6781,TC CH Co.opFood Dong Bac,Binh Duong,171102,N,S
6791,TC CH CFood Le Trong Tan 47A,Binh Duong,171102,N,S
6801,TC CH CFood Nguyen Cuu Phu 21,Binh Duong,171102,N,S
6811,TC CH Co.opFood Khanh Hoi,Binh Duong,171102,N,S
6821,TC CH CFood Phan Huy Ich 105,Binh Duong,171102,N,S
531,Co.opMart Ha Tien,Kien Giang,171103,Y,S
5311,Trung chuyen Ha Tien-531,Binh Duong,171103,N,S
8043,Kho Ve Tinh (NO TAX),"TX Di An, Binh Duong",171113,N,S
9202,NKD-Co.opFood Khu Vuc Dong Nai,"BienHoa,Dong Nai",171116,N,S
920,Headoffice-CF Khu vuc Dong Nai,"Bien Hoa, Dong Nai",171116,N,O
9201,TC Co.opFood Khu Vuc Dong Nai,Binh Duong,171117,N,S
910,Head office-Co.opFood Mien Bac,"Trung,Thanh Xuan,HN",171117,N,O
9101,TC Co.opFood Mien Bac,Binh Duong,171117,N,S
9102,Co.opFood Mien Bac,"Trung,ThanhXuan,HN",171117,Y,S
9103,CH Co.opFood HN Bac Ha C14,"Van,Nam Tu Liem,HNoi",171117,Y,S
905,TC Co-opXtra Su Van Hanh-305,Binh Duong,171127,N,S
9203,NKD-CH CFood Pham Van Thuan123,"TP.Bien Hoa,Dong Nai",171130,N,S
677,NKD-CH CFood Huynh Tan Phat591,HCM,171130,N,S
683,CH Co.opFood Xuan Hiep,HCM,171130,Y,S
684,CH Co.opFood Tan Quy Tay,"H.Binh Chanh,HCM",171130,Y,S
685,CH Co.opFood An Lac,"Binh Tan, HCM",171130,Y,S
686,NKD-CH Co.opFood Quy Duc,HCM,171201,N,S
687,CH CFood Tran Van Giau 5C13,"Binh Chanh, HCM",171201,Y,S
688,CH CFood Nguyen Duy Trinh 192,"Q2, HCM",171201,Y,S
689,CH Co.opFood Minh Duc,HCM,171202,Y,S
6831,TC CH Co.opFood Xuan Hiep,Binh Duong,171201,N,S
6841,TC CH Co.opFood Tan Quy Tay,Binh Duong,171201,N,S
6851,TC CH Co.opFood An Lac,Binh Duong,171201,N,S
6861,TC CH Co.opFood Quy Duc,Binh Duong,171201,N,S
6871,TC CFood Tran Van Giau 5C13,Binh Duong,171201,N,S
6881,TC CFood Nguyen Duy Trinh 192,Binh Duong,171201,N,S
6891,TC CH Co.opFood Minh Duc,Binh Duong,171202,N,S
690,CH Co.opFood Xom Chieu,HCM,171204,Y,S
9104,CH Co.opFood HN Trieu Khuc,"Q.Thanh Xuan, Ha Noi",171204,Y,S
9105,CH Co.opFood HN Bac Ha Tower,Ha Noi,171204,Y,S
6901,TC CH Co.opFood Xom Chieu,Binh Duong,171204,N,S
69020,CH CoopFood NQ QN Tang Bat Ho,Binh Dinh,171206,Y,S
69021,CH NQ Au Duong Lan,HCM,171209,Y,S
69022,CH NQ Mai Van Vinh,HCM,171209,Y,S
69023,CH NQ Nguyen Cong Tru,HCM,171209,Y,S
69024,CH NQ Binh Loi,HCM,171209,Y,S
691,CH Co.opFood Tan Quy,HCM,171215,Y,S
6911,TC CH Co.opFood Tan Quy,Binh Duong,171215,N,S
532,Co.opMart Cai Lay,Tien Giang,171219,Y,S
533,Co.opMart Hong Ngu,"TP.Hong Ngu,DongThap",171219,Y,S
5321,Trung chuyen Cai Lay-532,Binh Duong,171219,N,S
5331,Trung chuyen Hong Ngu-533,Binh Duong,171219,N,S
9302,CH Co.opFood Thu Khoa Huan 437,Binh Duong,171221,Y,S
930,Head office-CF KV Binh Duong,"Thu Dau 1,Binh Duong",171222,N,O
9301,TC Co.opFood Binh Duong,Binh Duong,171222,N,S
1183,CF P.Thiet Vo Van Kiet,Binh Thuan,180102,Y,S
692,CH Co.opFood Lien Khu 5-6,"Q.Binh Tan, HCM",180108,Y,S
693,CH Co.opFood Tam Binh 196,HCM,180108,Y,S
